journal_title,normalized_title,issn,eissn,publisher,abdc_rating,abdc_for,ajg2024,ajg_field,in_ft50,in_utd24,in_hci_sjr_q1,is_preprint_platform,source_lists,obhrm_candidate,inclusion_reason,review_status
American Economic Journal: Macroeconomics,american economic journal macroeconomics,1945-7707,1945-7715,American Economic Association,A*,3801,4,ECON,False,False,False,False,AJG2024_4;ABDC_A*,False,,excluded_by_scope
American Economic Journal: Microeconomics,american economic journal microeconomics,1945-7669,1945-7685,American Economic Association,A*,3801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
American Economic Review: Insights,american economic review insights,2640-205X,2640-2068,American Economic Association,A*,3801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
American Journal of Agricultural Economics,american journal of agricultural economics,0002-9092,1467-8276,Oxford University Press,A*,3801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
American Journal of Comparative Law,american journal of comparative law,0002-919X,2326-9197,Oxford University Press,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
American Journal of Health Economics,american journal of health economics,2332-3493,2332-3507,MIT Press,A*,3801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
American Journal of Political Science,american journal of political science,0092-5853,1540-5907,Wiley-Blackwell Publishing,A*,3599,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
American Journal of Public Health,american journal of public health,0090-0036,1541-0048,The American Public Health Association,A*,3599,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
American Journal of Sociology,american journal of sociology,0002-9602,1537-5390,The University of Chicago Press,A*,3507,4*,SOC SCI,False,False,False,False,AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
American Political Science Review,american political science review,0003-0554,1537-5943,Cambridge University Press,A*,3599,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
American Psychologist,american psychologist,0003-066X,1935-990X,American Psychological Association,A*,3507,,,False,False,False,False,ABDC_A*,True,ABDC FoR 3507,needs_review
American Sociological Review,american sociological review,0003-1224,1939-8271,Sage Publications,A*,3507,4*,SOC SCI,True,False,False,False,FT50;AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Annals of Actuarial Science,annals of actuarial science,1748-4995,1748-5002,Cambridge University Press,A,3502,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Annals of Applied Probability,annals of applied probability,1050-5164,2168-8737,Institute of Mathematical Statistics,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Annals of Applied Statistics,annals of applied statistics,1932-6157,1941-7330,Institute of Mathematical Statistics,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Annals of Operations Research,annals of operations research,0254-5330,1572-9338,Springer International Publishing,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507; broad-management/noise keyword needs human check,needs_review
Annals of Probability,annals of probability,0091-1798,2168-894X,Institute of Mathematical Statistics,A*,4905,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Annals of Statistics,annals of statistics,0090-5364,,Institute of Mathematical Statistics,A*,4905,4*,ECON,False,False,False,False,AJG2024_4*;ABDC_A*,False,,excluded_by_scope
Annals of the Institute of Statistical Mathematics,annals of institute of statistical mathematics,0020-3157,1572-9052,Springer International Publishing,A,4905,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Annals of Tourism Research,annals of tourism research,0160-7383,1873-7722,Elsevier,A*,3508,4,SECTOR,False,False,False,False,AJG2024_4;ABDC_A*,False,,excluded_by_scope
Annual Review of Economics,annual review of economics,1941-1383,1941-1391,Annual Reviews,A*,3801,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Annual Review of Organizational Psychology and Organizational Behavior,annual review of organizational psychology and organizational behavior,2327-0616,,Annual Reviews,A*,3507,,,False,False,False,False,ABDC_A*,True,manual core OBHRM title; ABDC FoR 3507; title keyword 'organizational',include_candidate
